TweetID,Entity Type,Entity Value,Entity Score,Sentiment,Positive Confidence,Neutral Confidence,Negative Confidence,Location,Time,Retweets

1420726988197621762,Organization,ResumenDelDíaÁgora,0.9056896302180224,negative,0.01,0.27,0.72,"Celaya, Gto.",2021-07-29T12:44:44,2
1420726988197621762,DateTime,28 july 2021,0.8,negative,0.01,0.27,0.72,"Celaya, Gto.",2021-07-29T12:44:44,2
1420726988197621762,Organization,Celaya,0.7548897040460877,negative,0.01,0.27,0.72,"Celaya, Gto.",2021-07-29T12:44:44,2
1420726988197621762,Organization,Delta Group,0.9927199072060027,negative,0.01,0.27,0.72,"Celaya, Gto.",2021-07-29T12:44:44,2
1420726988386574341,Organization,AstraZeneca,0.9203763109675529,neutral,0.06,0.72,0.22,,2021-07-29T12:44:44,924
1420726988386574341,Organization,Pfizer,0.9,neutral,0.06,0.72,0.22,,2021-07-29T12:44:44,924
1420726989321822209,Product,E2Villiers,0.8746278153816189,neutral,0.01,0.99,0,,2021-07-29T12:44:44,483
1420726989321822209,PersonName,Jean Michel Blanquer,0.8566903960749019,neutral,0.01,0.99,0,,2021-07-29T12:44:44,483
1420726989321822209,PersonName,Covid,0.9263665738427701,neutral,0.01,0.99,0,,2021-07-29T12:44:44,483
1420726989514846209,Number,14908121,0.8,negative,0,0,1,,2021-07-29T12:44:44,34
1420726989514846209,Organization,university,0.9,negative,0,0,1,,2021-07-29T12:44:44,34
1420726989514846209,Number,4,0.8,negative,0,0,1,,2021-07-29T12:44:44,34
1420726989514846209,Number,-19 b,0.8,negative,0,0,1,,2021-07-29T12:44:44,34
1420711885800841219,DateTime,tomorrow,0.8,neutral,0.06,0.47,0.47,ge(mini) ♊️,2021-07-29T11:44:43,16237
1420711886472028165,URL,https://t.co/7DByjeq46s,0.8,neutral,0.04,0.94,0.02,,2021-07-29T11:44:43,766
1420711885838508035,Number,501,0.8,negative,0.01,0,0.99,"Kuala Lumpur, Wilayah Persekut",2021-07-29T11:44:43,21
1420711885838508035,DateTime,"may 03, 2019",0.8,negative,0.01,0,0.99,"Kuala Lumpur, Wilayah Persekut",2021-07-29T11:44:43,21
1420711886367113219,URL,https://t.co/X6zNKebmtm,0.8,negative,0.01,0.02,0.97,"Athens & College Park, GA",2021-07-29T11:44:43,1
1420711886367113219,URL,https://t.co/QPzjGPBtzC,0.8,negative,0.01,0.02,0.97,"Athens & College Park, GA",2021-07-29T11:44:43,1
1420711886455144451,Product,ThanhNhL4,0.9481397655299149,neutral,0.01,0.98,0.01,,2021-07-29T11:44:43,3
1420711886455144451,Organization,MTV,0.9783169566376164,neutral,0.01,0.98,0.01,,2021-07-29T11:44:43,3
1420711886455144451,Number,97,0.8,neutral,0.01,0.98,0.01,,2021-07-29T11:44:43,3
1420711886455144451,Organization,MTV,0.9560683890816267,neutral,0.01,0.98,0.01,,2021-07-29T11:44:43,3
1422171775492923394,Number,25,0.8,neutral,0.01,0.92,0.07,Deutschland,2021-08-02T12:25:48,8
1422171782891573248,City,Corona,0.9,positive,0.56,0.03,0.41,,2021-08-02T12:25:50,0
1422171788251779084,Number,411,0.8,positive,0.61,0.33,0.06,"Krembangan, Indonesia",2021-08-02T12:25:51,480
1422171788251779084,Number,23,0.8,positive,0.61,0.33,0.06,"Krembangan, Indonesia",2021-08-02T12:25:51,480
1422171788251779084,DateTime,sunday,0.8,positive,0.61,0.33,0.06,"Krembangan, Indonesia",2021-08-02T12:25:51,480
1422183584291557380,Organization,The army,0.9,neutral,0.15,0.81,0.04,Clinton Township,2021-08-02T13:12:44,4
1422183584291557380,City,Sydney,0.9,neutral,0.15,0.81,0.04,Clinton Township,2021-08-02T13:12:44,4
1422183584291557380,CountryRegion,Australia,0.9,neutral,0.15,0.81,0.04,Clinton Township,2021-08-02T13:12:44,4
1422183584291557380,City,the city,0.9,neutral,0.15,0.81,0.04,Clinton Township,2021-08-02T13:12:44,4
1422183584425709573,Number,29,0.8,positive,0.93,0.04,0.03,,2021-08-02T13:12:44,52
1422183584425709573,PersonName,Ron DeSantis,0.9703854860339187,positive,0.93,0.04,0.03,,2021-08-02T13:12:44,52
1422183584425709573,Organization,Fauci,0.9941997121089273,positive,0.93,0.04,0.03,,2021-08-02T13:12:44,52
1422183584438407174,Age,93-year-old,0.8,positive,0.95,0.04,0.01,"Santa Cruz de Tenerife, Spain",2021-08-02T13:12:44,4771
1422183584438407174,Age,88-year-old,0.8,positive,0.95,0.04,0.01,"Santa Cruz de Tenerife, Spain",2021-08-02T13:12:44,4771
1422183584438407174,Number,1,0.8,positive,0.95,0.04,0.01,"Santa Cruz de Tenerife, Spain",2021-08-02T13:12:44,4771
1422183584476061696,CountryRegion,UK,0.9737315164597308,neutral,0,0.99,0.01,"Whitehall, United Kingdom",2021-08-02T13:12:44,7
1422183584476061696,CountryRegion,the Philippines,0.9,neutral,0,0.99,0.01,"Whitehall, United Kingdom",2021-08-02T13:12:44,7
1422186869094326276,Product,Betit0Mixx,0.8912542401046329,positive,1,0,0,,2021-08-02T13:25:47,13
1422186871929647109,City,Cuba,0.9,neutral,0.01,0.99,0,,2021-08-02T13:25:47,25
1422186871929647109,URL,https://t.co/HiYqnK7GC2,0.8,neutral,0.01,0.99,0,,2021-08-02T13:25:47,25
1422186871929647109,URL,https://t.co/HFFsqgZfHx,0.8,neutral,0.01,0.99,0,,2021-08-02T13:25:47,25
1422893414694088705,City,sisters,0.9,positive,0.49,0.48,0.03,"Selangor, Malaysia",2021-08-04T12:13:20,3757
1422893414694088705,DateTime,today,0.8,positive,0.49,0.48,0.03,"Selangor, Malaysia",2021-08-04T12:13:20,3757
1422893414748622857,State,Nebraska,0.9,negative,0.1,0.41,0.49,,2021-08-04T12:13:20,8
1422893414748622857,DateTime,last week,0.8,negative,0.1,0.41,0.49,,2021-08-04T12:13:20,8
1422893414803181573,Duration,a month,0.8,positive,0.85,0.15,0,"Basingstoke, UK",2021-08-04T12:13:20,171
1422893414996070406,PersonName,Travis Campbell,0.8877774467118044,negative,0.04,0.01,0.95,,2021-08-04T12:13:20,36
1422893414996070406,State,VA,0.9662333067406584,negative,0.04,0.01,0.95,,2021-08-04T12:13:20,36
1422893414996070406,DateTime,last week,0.8,negative,0.04,0.01,0.95,,2021-08-04T12:13:20,36
1422893414996070406,Organization,Delta,0.9,negative,0.04,0.01,0.95,,2021-08-04T12:13:20,36
1422893415365333000,URL,https://t.co/zI2DDgsAWR,0.8,neutral,0.02,0.95,0.03,"Olavarría, Argentina",2021-08-04T12:13:20,1
1422896708288229378,URL,https://t.co/Tc6YeFTCoO,0.8,neutral,0.08,0.9,0.02,,2021-08-04T12:26:26,56
1422896717150687236,Organization,RT @raphaelviicente,0.8527006634209702,positive,0.97,0.01,0.02,,2021-08-04T12:26:28,28611
1422896717150687236,City,corona,0.9,positive,0.97,0.01,0.02,,2021-08-04T12:26:28,28611
1422896717150687236,DateTime,today,0.8,positive,0.97,0.01,0.02,,2021-08-04T12:26:28,28611
1422896717150687236,URL,https://t.co/EU3xSvyUkL,0.8,positive,0.97,0.01,0.02,,2021-08-04T12:26:28,28611
1422896718161514496,City,Corona,0.9,neutral,0.03,0.91,0.06,"Berlin, Deutschland",2021-08-04T12:26:28,2
1422896718161514496,Organization,people,0.9,neutral,0.03,0.91,0.06,"Berlin, Deutschland",2021-08-04T12:26:28,2
1422896718161514496,Number,2,0.8,neutral,0.03,0.91,0.06,"Berlin, Deutschland",2021-08-04T12:26:28,2
1422896719658848259,URL,https://t.co/rThBZX4626,0.8,neutral,0.08,0.89,0.03,,2021-08-04T12:26:28,0
1422896719902253066,Organization,RT @fvdemocratie,0.8133432310133183,negative,0.21,0.26,0.53,,2021-08-04T12:26:28,388
1423077860756135937,Number,85,0.8,neutral,0.03,0.94,0.03,Germany (KÖLN),2021-08-05T00:26:16,0
1423077860756135937,City,Corona,0.9,neutral,0.03,0.94,0.03,Germany (KÖLN),2021-08-05T00:26:16,0
1422911814594072581,Organization,time,0.9,negative,0,0,1,Germany,2021-08-04T13:26:27,0
1422911814594072581,City,Corona,0.9,negative,0,0,1,Germany,2021-08-04T13:26:27,0
1422911816582139907,Number,0,0.8,positive,0.57,0.38,0.05,,2021-08-04T13:26:28,571
1422911816582139907,Organization,people,0.9,positive,0.57,0.38,0.05,,2021-08-04T13:26:28,571
1422911818087997447,Organization,RT @raphaelviicente,0.8527006634209702,positive,0.97,0.01,0.02,,2021-08-04T13:26:28,31074
1422911818087997447,City,corona,0.9,positive,0.97,0.01,0.02,,2021-08-04T13:26:28,31074
1422911818087997447,DateTime,today,0.8,positive,0.97,0.01,0.02,,2021-08-04T13:26:28,31074
1422911818087997447,URL,https://t.co/EU3xSvyUkL,0.8,positive,0.97,0.01,0.02,,2021-08-04T13:26:28,31074
